item_id,date_min,date_max,actual_records,expected_records,missing_records,missingness_rate,days_missing_before,days_missing_after
151825,2021-01-23,2022-08-14,569,761,192,25.23,0,192
151827,2021-01-23,2022-08-23,578,761,183,24.05,0,183
210048,2021-01-23,2022-08-26,581,761,180,23.65,0,180
151824,2021-01-23,2022-09-05,591,761,170,22.34,0,170
79879,2021-01-23,2022-09-09,595,761,166,21.81,0,166
151826,2021-01-23,2022-09-15,601,761,160,21.02,0,160
70069,2021-04-22,2023-02-22,672,761,89,11.7,89,0
8938,2021-01-23,2022-11-27,674,761,87,11.43,0,87
65279,2021-01-23,2022-11-28,675,761,86,11.3,0,86
552377,2021-04-03,2023-02-22,691,761,70,9.2,70,0
540575,2021-04-03,2023-02-22,691,761,70,9.2,70,0
526768,2021-04-03,2023-02-22,691,761,70,9.2,70,0
65691,2021-03-23,2023-02-20,700,761,61,8.02,59,2
956116,2021-03-15,2023-02-22,710,761,51,6.7,51,0
87587,2021-01-24,2023-01-05,712,761,49,6.44,1,48
155531,2021-01-23,2023-01-13,721,761,40,5.26,0,40
159254,2021-01-25,2023-01-17,723,761,38,4.99,2,36
21681,2021-01-23,2023-01-16,724,761,37,4.86,0,37
13268,2021-01-23,2023-01-16,724,761,37,4.86,0,37
289123,2021-03-01,2023-02-22,724,761,37,4.86,37,0
146555,2021-02-28,2023-02-22,725,761,36,4.73,36,0
65353,2021-02-26,2023-02-22,727,761,34,4.47,34,0
4872,2021-01-23,2023-01-19,727,761,34,4.47,0,34
159251,2021-01-24,2023-01-20,727,761,34,4.47,1,33
266560,2021-02-25,2023-02-22,728,761,33,4.34,33,0
18607,2021-01-23,2023-01-20,728,761,33,4.34,0,33
70073,2021-01-23,2023-01-20,728,761,33,4.34,0,33
70106,2021-01-23,2023-01-20,728,761,33,4.34,0,33
266557,2021-02-25,2023-02-22,728,761,33,4.34,33,0
87566,2021-01-23,2023-01-21,729,761,32,4.2,0,32
21402,2021-01-23,2023-01-23,731,761,30,3.94,0,30
13267,2021-01-23,2023-01-23,731,761,30,3.94,0,30
726520,2021-02-20,2023-02-22,733,761,28,3.68,28,0
734821,2021-02-19,2023-02-22,734,761,27,3.55,27,0
779,2021-01-23,2023-01-26,734,761,27,3.55,0,27
87600,2021-01-23,2023-01-27,735,761,26,3.42,0,26
797553,2021-01-23,2023-01-28,736,761,25,3.29,0,25
105319,2021-01-23,2023-01-29,737,761,24,3.15,0,24
161358,2021-01-23,2023-01-30,738,761,23,3.02,0,23
43253,2021-01-26,2023-02-02,738,761,23,3.02,3,20
65669,2021-01-23,2023-01-31,739,761,22,2.89,0,22
1274,2021-01-23,2023-01-31,739,761,22,2.89,0,22
86664,2021-01-23,2023-01-31,739,761,22,2.89,0,22
566027,2021-02-13,2023-02-21,739,761,22,2.89,21,1
471,2021-02-12,2023-02-20,739,761,22,2.89,20,2
579994,2021-02-13,2023-02-22,740,761,21,2.76,21,0
237548,2021-02-13,2023-02-22,740,761,21,2.76,21,0
1756,2021-02-12,2023-02-22,741,761,20,2.63,20,0
132472,2021-01-23,2023-02-03,742,761,19,2.5,0,19
652245,2021-02-11,2023-02-22,742,761,19,2.5,19,0
579299,2021-01-27,2023-02-10,745,761,16,2.1,4,12
8432,2021-01-23,2023-02-07,746,761,15,1.97,0,15
26862,2021-01-23,2023-02-08,747,761,14,1.84,0,14
54916,2021-02-06,2023-02-22,747,761,14,1.84,14,0
233678,2021-02-05,2023-02-21,747,761,14,1.84,13,1
12898,2021-02-06,2023-02-22,747,761,14,1.84,14,0
103753,2021-01-23,2023-02-09,748,761,13,1.71,0,13
228821,2021-01-23,2023-02-09,748,761,13,1.71,0,13
230233,2021-01-23,2023-02-10,749,761,12,1.58,0,12
47168,2021-01-23,2023-02-10,749,761,12,1.58,0,12
514,2021-01-23,2023-02-12,751,761,10,1.31,0,10
289056,2021-01-23,2023-02-12,751,761,10,1.31,0,10
47273,2021-01-23,2023-02-13,752,761,9,1.18,0,9
65687,2021-01-23,2023-02-14,753,761,8,1.05,0,8
12882,2021-01-29,2023-02-20,753,761,8,1.05,6,2
500707,2021-01-23,2023-02-15,754,761,7,0.92,0,7
124613,2021-01-30,2023-02-22,754,761,7,0.92,7,0
113716,2021-01-29,2023-02-22,755,761,6,0.79,6,0
19533,2021-01-29,2023-02-22,755,761,6,0.79,6,0
144815,2021-01-28,2023-02-21,755,761,6,0.79,5,1
153307,2021-01-28,2023-02-21,755,761,6,0.79,5,1
70110,2021-01-28,2023-02-21,755,761,6,0.79,5,1
640020,2021-01-23,2023-02-16,755,761,6,0.79,0,6
48100,2021-01-28,2023-02-21,755,761,6,0.79,5,1
19538,2021-01-29,2023-02-22,755,761,6,0.79,6,0
129092,2021-01-29,2023-02-22,755,761,6,0.79,6,0
65878,2021-01-29,2023-02-22,755,761,6,0.79,6,0
298943,2021-01-28,2023-02-21,755,761,6,0.79,5,1
20660,2021-01-23,2023-02-16,755,761,6,0.79,0,6
620744,2021-01-27,2023-02-21,756,761,5,0.66,4,1
30647,2021-01-23,2023-02-17,756,761,5,0.66,0,5
21389,2021-01-28,2023-02-22,756,761,5,0.66,5,0
204473,2021-01-28,2023-02-22,756,761,5,0.66,5,0
268187,2021-01-23,2023-02-17,756,761,5,0.66,0,5
20404,2021-01-23,2023-02-17,756,761,5,0.66,0,5
20184,2021-01-27,2023-02-21,756,761,5,0.66,4,1
945842,2021-01-27,2023-02-21,756,761,5,0.66,4,1
65582,2021-01-26,2023-02-20,756,761,5,0.66,3,2
217813,2021-01-28,2023-02-22,756,761,5,0.66,5,0
962446,2021-01-28,2023-02-22,756,761,5,0.66,5,0
13453,2021-01-27,2023-02-22,757,761,4,0.53,4,0
56330,2021-01-23,2023-02-18,757,761,4,0.53,0,4
205268,2021-01-23,2023-02-18,757,761,4,0.53,0,4
289092,2021-01-27,2023-02-22,757,761,4,0.53,4,0
56332,2021-01-24,2023-02-19,757,761,4,0.53,1,3
962963,2021-01-27,2023-02-22,757,761,4,0.53,4,0
948904,2021-01-24,2023-02-19,757,761,4,0.53,1,3
803258,2021-01-23,2023-02-18,757,761,4,0.53,0,4
803281,2021-01-23,2023-02-18,757,761,4,0.53,0,4
237378,2021-01-23,2023-02-18,757,761,4,0.53,0,4
86827,2021-01-26,2023-02-21,757,761,4,0.53,3,1
157964,2021-01-27,2023-02-22,757,761,4,0.53,4,0
65137,2021-01-27,2023-02-22,757,761,4,0.53,4,0
565360,2021-01-27,2023-02-22,757,761,4,0.53,4,0
187707,2021-01-27,2023-02-22,757,761,4,0.53,4,0
711124,2021-01-23,2023-02-19,758,761,3,0.39,0,3
904597,2021-01-23,2023-02-19,758,761,3,0.39,0,3
56331,2021-01-23,2023-02-19,758,761,3,0.39,0,3
26372,2021-01-23,2023-02-19,758,761,3,0.39,0,3
18605,2021-01-23,2023-02-19,758,761,3,0.39,0,3
56327,2021-01-23,2023-02-19,758,761,3,0.39,0,3
501258,2021-01-23,2023-02-19,758,761,3,0.39,0,3
732222,2021-01-26,2023-02-22,758,761,3,0.39,3,0
59196,2021-01-23,2023-02-19,758,761,3,0.39,0,3
34497,2021-01-23,2023-02-19,758,761,3,0.39,0,3
34255,2021-01-23,2023-02-19,758,761,3,0.39,0,3
536432,2021-01-24,2023-02-20,758,761,3,0.39,1,2
20082,2021-01-23,2023-02-19,758,761,3,0.39,0,3
555403,2021-01-24,2023-02-20,758,761,3,0.39,1,2
11236,2021-01-25,2023-02-21,758,761,3,0.39,2,1
627731,2021-01-23,2023-02-19,758,761,3,0.39,0,3
48382,2021-01-24,2023-02-20,758,761,3,0.39,1,2
930471,2021-01-23,2023-02-19,758,761,3,0.39,0,3
87557,2021-01-23,2023-02-19,758,761,3,0.39,0,3
87568,2021-01-24,2023-02-20,758,761,3,0.39,1,2
136898,2021-01-25,2023-02-21,758,761,3,0.39,2,1
237199,2021-01-24,2023-02-20,758,761,3,0.39,1,2
117255,2021-01-24,2023-02-20,758,761,3,0.39,1,2
944460,2021-01-23,2023-02-19,758,761,3,0.39,0,3
70086,2021-01-23,2023-02-19,758,761,3,0.39,0,3
146842,2021-01-25,2023-02-21,758,761,3,0.39,2,1
146843,2021-01-23,2023-02-19,758,761,3,0.39,0,3
962450,2021-01-23,2023-02-19,758,761,3,0.39,0,3
218083,2021-01-23,2023-02-19,758,761,3,0.39,0,3
937571,2021-01-24,2023-02-20,758,761,3,0.39,1,2
12881,2021-01-24,2023-02-20,758,761,3,0.39,1,2
66261,2021-01-24,2023-02-20,758,761,3,0.39,1,2
100368,2021-01-23,2023-02-19,758,761,3,0.39,0,3
113627,2021-01-26,2023-02-22,758,761,3,0.39,3,0
285551,2021-01-23,2023-02-19,758,761,3,0.39,0,3
218171,2021-01-23,2023-02-19,758,761,3,0.39,0,3
103869,2021-01-23,2023-02-19,758,761,3,0.39,0,3
157916,2021-01-23,2023-02-19,758,761,3,0.39,0,3
154743,2021-01-23,2023-02-19,758,761,3,0.39,0,3
217963,2021-01-23,2023-02-20,759,761,2,0.26,0,2
19551,2021-01-23,2023-02-20,759,761,2,0.26,0,2
218084,2021-01-23,2023-02-20,759,761,2,0.26,0,2
20671,2021-01-23,2023-02-20,759,761,2,0.26,0,2
129596,2021-01-23,2023-02-20,759,761,2,0.26,0,2
205267,2021-01-23,2023-02-20,759,761,2,0.26,0,2
213313,2021-01-24,2023-02-21,759,761,2,0.26,1,1
132688,2021-01-23,2023-02-20,759,761,2,0.26,0,2
136901,2021-01-24,2023-02-21,759,761,2,0.26,1,1
107218,2021-01-23,2023-02-20,759,761,2,0.26,0,2
19500,2021-01-24,2023-02-21,759,761,2,0.26,1,1
18544,2021-01-23,2023-02-20,759,761,2,0.26,0,2
180786,2021-01-23,2023-02-20,759,761,2,0.26,0,2
161336,2021-01-23,2023-02-20,759,761,2,0.26,0,2
159262,2021-01-23,2023-02-20,759,761,2,0.26,0,2
642808,2021-01-24,2023-02-21,759,761,2,0.26,1,1
153628,2021-01-24,2023-02-21,759,761,2,0.26,1,1
154545,2021-01-23,2023-02-20,759,761,2,0.26,0,2
13255,2021-01-23,2023-02-20,759,761,2,0.26,0,2
13254,2021-01-23,2023-02-20,759,761,2,0.26,0,2
606429,2021-01-23,2023-02-20,759,761,2,0.26,0,2
59229,2021-01-23,2023-02-20,759,761,2,0.26,0,2
105294,2021-01-24,2023-02-21,759,761,2,0.26,1,1
70064,2021-01-23,2023-02-20,759,761,2,0.26,0,2
64856,2021-01-23,2023-02-20,759,761,2,0.26,0,2
65145,2021-01-25,2023-02-22,759,761,2,0.26,2,0
65458,2021-01-24,2023-02-21,759,761,2,0.26,1,1
289003,2021-01-25,2023-02-22,759,761,2,0.26,2,0
288551,2021-01-23,2023-02-20,759,761,2,0.26,0,2
287109,2021-01-23,2023-02-20,759,761,2,0.26,0,2
54580,2021-01-23,2023-02-20,759,761,2,0.26,0,2
285024,2021-01-25,2023-02-22,759,761,2,0.26,2,0
66413,2021-01-23,2023-02-20,759,761,2,0.26,0,2
501491,2021-01-23,2023-02-20,759,761,2,0.26,0,2
66430,2021-01-23,2023-02-20,759,761,2,0.26,0,2
47141,2021-01-24,2023-02-21,759,761,2,0.26,1,1
46314,2021-01-24,2023-02-21,759,761,2,0.26,1,1
502288,2021-01-24,2023-02-21,759,761,2,0.26,1,1
70094,2021-01-23,2023-02-20,759,761,2,0.26,0,2
224458,2021-01-23,2023-02-20,759,761,2,0.26,0,2
86720,2021-01-24,2023-02-21,759,761,2,0.26,1,1
531304,2021-01-23,2023-02-20,759,761,2,0.26,0,2
31242,2021-01-24,2023-02-21,759,761,2,0.26,1,1
236937,2021-01-23,2023-02-20,759,761,2,0.26,0,2
87563,2021-01-24,2023-02-21,759,761,2,0.26,1,1
549557,2021-01-23,2023-02-20,759,761,2,0.26,0,2
89149,2021-01-23,2023-02-20,759,761,2,0.26,0,2
96788,2021-01-24,2023-02-21,759,761,2,0.26,1,1
96792,2021-01-23,2023-02-20,759,761,2,0.26,0,2
565303,2021-01-23,2023-02-20,759,761,2,0.26,0,2
26530,2021-01-23,2023-02-20,759,761,2,0.26,0,2
100498,2021-01-24,2023-02-21,759,761,2,0.26,1,1
297739,2021-01-23,2023-02-20,759,761,2,0.26,0,2
103781,2021-01-23,2023-02-20,759,761,2,0.26,0,2
270072,2021-01-23,2023-02-20,759,761,2,0.26,0,2
155523,2021-01-25,2023-02-22,759,761,2,0.26,2,0
3743,2021-01-23,2023-02-20,759,761,2,0.26,0,2
1241,2021-01-23,2023-02-20,759,761,2,0.26,0,2
8562,2021-01-23,2023-02-20,759,761,2,0.26,0,2
3724,2021-01-23,2023-02-20,759,761,2,0.26,0,2
716557,2021-01-24,2023-02-21,759,761,2,0.26,1,1
2564,2021-01-23,2023-02-20,759,761,2,0.26,0,2
962469,2021-01-23,2023-02-20,759,761,2,0.26,0,2
12625,2021-01-23,2023-02-20,759,761,2,0.26,0,2
962698,2021-01-24,2023-02-21,759,761,2,0.26,1,1
260,2021-01-23,2023-02-20,759,761,2,0.26,0,2
493,2021-01-25,2023-02-22,759,761,2,0.26,2,0
907294,2021-01-25,2023-02-22,759,761,2,0.26,2,0
920470,2021-01-24,2023-02-21,759,761,2,0.26,1,1
832801,2021-01-24,2023-02-21,759,761,2,0.26,1,1
803315,2021-01-23,2023-02-20,759,761,2,0.26,0,2
1578,2021-01-23,2023-02-20,759,761,2,0.26,0,2
3386,2021-01-23,2023-02-21,760,761,1,0.13,0,1
66411,2021-01-23,2023-02-21,760,761,1,0.13,0,1
2188,2021-01-24,2023-02-22,760,761,1,0.13,1,0
266541,2021-01-23,2023-02-21,760,761,1,0.13,0,1
66568,2021-01-24,2023-02-22,760,761,1,0.13,1,0
915544,2021-01-23,2023-02-21,760,761,1,0.13,0,1
914730,2021-01-23,2023-02-21,760,761,1,0.13,0,1
2355,2021-01-23,2023-02-21,760,761,1,0.13,0,1
3714,2021-01-23,2023-02-21,760,761,1,0.13,0,1
