window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
0,0,20.5,10.455461502075195,5.0,61.0,26.0,30.0,0.13793103396892548,615.0
0,1,9.833333015441895,5.773983955383301,1.0,29.0,14.0,16.0,0.06896551698446274,295.0
0,2,13.5,8.44886589050293,1.0,34.0,9.0,34.0,0.8620689511299133,405.0
0,3,3.4666666984558105,2.9634814262390137,0.0,11.0,4.0,8.0,0.13793103396892548,104.0
0,4,24.566667556762695,12.408823013305664,3.0,58.0,30.0,58.0,0.9655172228813171,737.0
0,5,8.633333206176758,6.008234977722168,0.0,20.0,8.0,15.0,0.24137930572032928,259.0
1,0,20.133333206176758,10.449029922485352,5.0,61.0,15.0,15.0,0.0,604.0
1,1,3.2666666507720947,2.0805981159210205,0.0,9.0,1.0,3.0,0.06896551698446274,98.0
1,2,9.5,5.812343120574951,1.0,29.0,14.0,4.0,-0.3448275923728943,285.0
1,3,13.633333206176758,8.408263206481934,1.0,34.0,16.0,13.0,-0.1034482792019844,409.0
1,4,24.100000381469727,12.458866119384766,3.0,58.0,26.0,16.0,-0.3448275923728943,723.0
1,5,8.5,6.064926624298096,0.0,20.0,6.0,4.0,-0.06896551698446274,255.0
1,6,4.099999904632568,2.560598850250244,0.0,9.0,4.0,1.0,-0.1034482792019844,123.0
1,7,135.10000610351562,51.2629508972168,48.0,258.0,150.0,74.0,-2.620689630508423,4053.0
2,0,19.96666717529297,10.568769454956055,5.0,61.0,16.0,10.0,-0.2068965584039688,599.0
2,1,5.699999809265137,2.8419477939605713,1.0,14.0,6.0,4.0,-0.06896551698446274,171.0
2,2,17.866666793823242,14.096650123596191,3.0,65.0,10.0,5.0,-0.17241379618644714,536.0
2,3,22.83333396911621,20.691516876220703,4.0,99.0,15.0,6.0,-0.3103448152542114,685.0
2,4,9.866666793823242,5.0644731521606445,1.0,24.0,6.0,6.0,0.0,296.0
2,5,3.2666666507720947,2.0805981159210205,0.0,9.0,3.0,1.0,-0.06896551698446274,98.0
2,6,9.300000190734863,5.757024765014648,1.0,29.0,8.0,8.0,0.0,279.0
2,7,9.600000381469727,8.550243377685547,0.0,38.0,5.0,3.0,-0.06896551698446274,288.0
2,8,3.3333332538604736,3.0258147716522217,0.0,11.0,3.0,0.0,-0.1034482792019844,100.0
2,9,15.100000381469727,8.279895782470703,0.0,36.0,10.0,3.0,-0.24137930572032928,453.0
2,10,24.16666603088379,12.47419548034668,3.0,58.0,20.0,28.0,0.27586206793785095,725.0
2,11,8.433333396911621,6.102913856506348,0.0,20.0,6.0,4.0,-0.06896551698446274,253.0
2,12,21.066667556762695,12.997264862060547,0.0,48.0,20.0,10.0,-0.3448275923728943,632.0
2,13,81.4000015258789,27.875436782836914,24.0,149.0,89.0,63.0,-0.8965517282485962,2442.0
2,14,26.66666603088379,9.8228759765625,4.0,46.0,23.0,25.0,0.06896551698446274,800.0
2,15,3.9666666984558105,2.6643741130828857,0.0,9.0,5.0,0.0,-0.17241379618644714,119.0
2,16,133.76666259765625,51.37812805175781,48.0,258.0,153.0,110.0,-1.482758641242981,4013.0
3,0,19.799999237060547,10.668957710266113,5.0,61.0,13.0,11.0,-0.06896551698446274,594.0
3,1,5.699999809265137,2.8419477939605713,1.0,14.0,5.0,6.0,0.03448275849223137,171.0
3,2,17.633333206176758,14.28165054321289,3.0,65.0,10.0,3.0,-0.24137930572032928,529.0
3,3,22.799999237060547,20.704910278320312,4.0,99.0,4.0,14.0,0.3448275923728943,684.0
3,4,3.200000047683716,2.11974835395813,0.0,9.0,1.0,1.0,0.0,96.0
3,5,9.233333587646484,5.783213138580322,1.0,29.0,3.0,6.0,0.1034482792019844,277.0
3,6,15.133333206176758,8.2612886428833,0.0,36.0,4.0,11.0,0.24137930572032928,454.0
3,7,23.799999237060547,12.74990177154541,3.0,58.0,10.0,9.0,-0.03448275849223137,714.0
3,8,8.399999618530273,6.118823528289795,0.0,20.0,0.0,5.0,0.17241379618644714,252.0
3,9,20.566667556762695,13.313360214233398,0.0,48.0,11.0,5.0,-0.2068965584039688,617.0
3,10,5.433333396911621,3.8529930114746094,0.0,15.0,1.0,1.0,0.0,163.0
3,11,80.76667022705078,27.911388397216797,24.0,149.0,51.0,70.0,0.6551724076271057,2423.0
3,12,15.833333015441895,7.806336402893066,3.0,34.0,9.0,8.0,-0.03448275849223137,475.0
3,13,26.600000381469727,9.85427188873291,4.0,46.0,19.0,21.0,0.06896551698446274,798.0
3,14,3.9000000953674316,2.662705421447754,0.0,9.0,0.0,3.0,0.1034482792019844,117.0
3,15,8.466666221618652,6.469071865081787,0.0,23.0,5.0,0.0,-0.17241379618644714,254.0
3,16,132.43333435058594,51.3807258605957,48.0,258.0,69.0,113.0,1.517241358757019,3973.0
4,0,20.0,10.595596313476562,5.0,61.0,15.0,19.0,0.13793103396892548,600.0
4,1,5.800000190734863,2.8682167530059814,1.0,14.0,3.0,8.0,0.17241379618644714,174.0
4,2,17.899999618530273,14.211145401000977,3.0,65.0,11.0,18.0,0.24137930572032928,537.0
4,3,23.299999237060547,20.424087524414062,5.0,99.0,13.0,19.0,0.2068965584039688,699.0
4,4,9.333333015441895,5.699902534484863,1.0,29.0,8.0,6.0,-0.06896551698446274,280.0
4,5,24.133333206176758,12.51328182220459,3.0,58.0,19.0,20.0,0.03448275849223137,724.0
4,6,20.5,13.366002082824707,0.0,48.0,10.0,9.0,-0.03448275849223137,615.0
4,7,27.066667556762695,9.814727783203125,4.0,46.0,35.0,33.0,-0.06896551698446274,812.0
4,8,4.0333333015441895,2.5623340606689453,0.0,9.0,3.0,4.0,0.03448275849223137,121.0
4,9,133.60000610351562,50.313419342041016,48.0,258.0,88.0,104.0,0.5517241358757019,4008.0
5,0,19.83333396911621,10.711624145507812,5.0,61.0,16.0,10.0,-0.2068965584039688,595.0
5,1,17.899999618530273,14.211145401000977,3.0,65.0,8.0,11.0,0.1034482792019844,537.0
5,2,9.433333396911621,5.701949119567871,1.0,29.0,9.0,11.0,0.06896551698446274,283.0
5,3,9.666666984558105,8.52968692779541,0.0,38.0,1.0,5.0,0.13793103396892548,290.0
5,4,26.5,9.831072807312012,4.0,46.0,21.0,18.0,-0.1034482792019844,795.0
5,5,3.933333396911621,2.657484292984009,0.0,9.0,6.0,0.0,-0.2068965584039688,118.0
5,6,134.26666259765625,49.835018157958984,48.0,258.0,106.0,108.0,0.06896551698446274,4028.0
6,0,19.799999237060547,10.725049018859863,5.0,61.0,15.0,15.0,0.0,594.0
6,1,18.133333206176758,14.103742599487305,3.0,65.0,13.0,15.0,0.06896551698446274,544.0
6,2,4.666666507720947,2.796823501586914,0.0,10.0,3.0,4.0,0.03448275849223137,140.0
6,3,9.666666984558105,8.52968692779541,0.0,38.0,5.0,1.0,-0.13793103396892548,290.0
6,4,15.633333206176758,7.871820449829102,3.0,34.0,11.0,10.0,-0.03448275849223137,469.0
6,5,26.96666717529297,9.891016960144043,4.0,46.0,25.0,35.0,0.3448275923728943,809.0
6,6,3.9000000953674316,2.63754940032959,0.0,9.0,0.0,5.0,0.17241379618644714,117.0
7,0,20.133333206176758,10.72608470916748,5.0,61.0,33.0,25.0,-0.27586206793785095,604.0
7,1,4.933333396911621,4.032644748687744,0.0,16.0,5.0,5.0,0.0,148.0
7,2,9.666666984558105,8.52968692779541,0.0,38.0,16.0,5.0,-0.37931033968925476,290.0
7,3,3.566666603088379,2.9403326511383057,0.0,11.0,9.0,4.0,-0.17241379618644714,107.0
7,4,21.933332443237305,13.119790077209473,0.0,48.0,40.0,34.0,-0.2068965584039688,658.0
7,5,82.66666412353516,26.95345687866211,24.0,149.0,133.0,94.0,-1.3448275327682495,2480.0
7,6,82.16666412353516,31.710233688354492,19.0,148.0,148.0,103.0,-1.5517241954803467,2465.0
7,7,27.299999237060547,9.98715877532959,4.0,46.0,46.0,35.0,-0.37931033968925476,819.0
7,8,4.0333333015441895,2.5361826419830322,0.0,9.0,8.0,4.0,-0.13793103396892548,121.0
8,0,19.46666717529297,10.525313377380371,5.0,61.0,29.0,13.0,-0.5517241358757019,584.0
8,1,4.800000190734863,4.093897819519043,0.0,16.0,10.0,1.0,-0.3103448152542114,144.0
8,2,5.699999809265137,4.075536727905273,0.0,15.0,9.0,0.0,-0.3103448152542114,171.0
8,3,78.66666412353516,29.99925994873047,19.0,144.0,144.0,43.0,-3.4827585220336914,2360.0
8,4,26.299999237060547,9.55737018585205,4.0,45.0,45.0,16.0,-1.0,789.0
8,5,3.7666666507720947,2.525646209716797,0.0,9.0,6.0,0.0,-0.2068965584039688,113.0
9,0,19.133333206176758,10.375398635864258,5.0,61.0,5.0,19.0,0.48275861144065857,574.0
9,1,5.599999904632568,4.029888153076172,0.0,15.0,0.0,6.0,0.2068965584039688,168.0
10,0,19.399999618530273,10.10808277130127,6.0,61.0,9.0,13.0,0.13793103396892548,582.0
10,1,3.700000047683716,2.4919872283935547,0.0,9.0,4.0,3.0,-0.03448275849223137,111.0
11,0,19.53333282470703,9.995777130126953,6.0,61.0,19.0,13.0,-0.2068965584039688,586.0
11,1,3.566666603088379,2.577897548675537,0.0,9.0,5.0,0.0,-0.17241379618644714,107.0
12,0,19.266666412353516,10.112478256225586,6.0,61.0,24.0,11.0,-0.4482758641242981,578.0
12,1,25.5,8.924684524536133,4.0,41.0,30.0,18.0,-0.4137931168079376,765.0
13,0,18.933332443237305,10.115774154663086,6.0,61.0,30.0,14.0,-0.5517241358757019,568.0
13,1,25.0,9.077445030212402,4.0,41.0,36.0,15.0,-0.7241379022598267,750.0
14,0,18.700000762939453,9.936967849731445,6.0,61.0,61.0,23.0,-1.3103448152542114,561.0
15,0,17.100000381469727,6.133786201477051,6.0,33.0,33.0,13.0,-0.6896551847457886,513.0
16,0,16.53333282470703,5.377318859100342,6.0,30.0,20.0,16.0,-0.13793103396892548,496.0
17,0,16.16666603088379,5.502019882202148,6.0,30.0,16.0,9.0,-0.24137930572032928,485.0
18,0,16.0,5.57972526550293,6.0,30.0,13.0,11.0,-0.06896551698446274,480.0
18,1,2.4000000953674316,3.6751418113708496,0.0,20.0,1.0,0.0,-0.03448275849223137,72.0
19,0,16.233333587646484,5.595732688903809,6.0,30.0,16.0,20.0,0.13793103396892548,487.0
19,1,2.4666666984558105,3.6672725677490234,0.0,20.0,1.0,3.0,0.06896551698446274,74.0
20,0,16.16666603088379,5.610011100769043,6.0,30.0,19.0,14.0,-0.17241379618644714,485.0
21,0,16.16666603088379,5.610011100769043,6.0,30.0,18.0,19.0,0.03448275849223137,485.0
22,0,16.03333282470703,5.612387180328369,6.0,30.0,21.0,14.0,-0.24137930572032928,481.0
23,0,15.600000381469727,5.7131428718566895,6.0,30.0,15.0,8.0,-0.24137930572032928,468.0
24,0,15.600000381469727,5.7131428718566895,6.0,30.0,18.0,15.0,-0.1034482792019844,468.0
25,0,15.199999809265137,5.946427345275879,6.0,30.0,16.0,6.0,-0.3448275923728943,456.0
25,1,3.4000000953674316,1.8903262615203857,0.0,8.0,3.0,3.0,0.0,102.0
26,0,15.033333778381348,5.991568088531494,6.0,30.0,6.0,11.0,0.17241379618644714,451.0
26,1,3.4666666984558105,1.9102065563201904,0.0,8.0,3.0,5.0,0.06896551698446274,104.0
27,0,14.966666221618652,6.101821422576904,4.0,30.0,18.0,4.0,-0.48275861144065857,449.0
28,0,15.5,6.979732513427734,4.0,34.0,30.0,34.0,0.13793103396892548,465.0
29,0,14.966666221618652,6.441963195800781,4.0,34.0,30.0,14.0,-0.5517241358757019,449.0
30,0,14.300000190734863,5.860318660736084,4.0,34.0,15.0,10.0,-0.17241379618644714,429.0
31,0,14.233333587646484,5.863351345062256,4.0,34.0,10.0,13.0,0.1034482792019844,427.0
32,0,14.366666793823242,5.810813903808594,4.0,34.0,11.0,14.0,0.1034482792019844,431.0
33,0,14.533333778381348,5.783501625061035,4.0,34.0,19.0,16.0,-0.1034482792019844,436.0
34,0,14.533333778381348,5.783501625061035,4.0,34.0,10.0,19.0,0.3103448152542114,436.0
35,0,15.033333778381348,6.01378059387207,4.0,34.0,15.0,25.0,0.3448275923728943,451.0
36,0,14.866666793823242,6.081301212310791,4.0,34.0,25.0,10.0,-0.517241358757019,446.0
37,0,14.633333206176758,5.816547393798828,4.0,34.0,13.0,18.0,0.17241379618644714,439.0
38,0,14.800000190734863,5.838949680328369,4.0,34.0,19.0,18.0,-0.03448275849223137,444.0
39,0,15.133333206176758,6.333683967590332,4.0,34.0,13.0,29.0,0.5517241358757019,454.0
40,0,15.300000190734863,6.341135501861572,4.0,34.0,13.0,18.0,0.17241379618644714,459.0
41,0,16.16666603088379,7.616137981414795,4.0,39.0,11.0,39.0,0.9655172228813171,485.0
41,1,16.96666717529297,9.55853271484375,3.0,39.0,10.0,39.0,1.0,509.0
41,2,42.36666488647461,32.150150299072266,13.0,116.0,14.0,103.0,3.068965435028076,1271.0
42,0,16.066667556762695,7.702524662017822,4.0,39.0,14.0,8.0,-0.2068965584039688,482.0
43,0,16.100000381469727,7.695669651031494,4.0,39.0,23.0,15.0,-0.27586206793785095,483.0
44,0,15.600000381469727,7.718376159667969,4.0,39.0,13.0,8.0,-0.17241379618644714,468.0
44,1,4.066666603088379,2.6322782039642334,0.0,10.0,4.0,0.0,-0.13793103396892548,122.0
45,0,15.633333206176758,7.709229469299316,4.0,39.0,16.0,14.0,-0.06896551698446274,469.0
45,1,6.400000095367432,3.9715654850006104,0.0,15.0,1.0,3.0,0.06896551698446274,192.0
45,2,3.9666666984558105,2.689279079437256,0.0,10.0,8.0,1.0,-0.24137930572032928,119.0
46,0,15.466666221618652,7.753422260284424,4.0,39.0,9.0,11.0,0.06896551698446274,464.0
46,1,6.5,3.87083101272583,0.0,15.0,3.0,4.0,0.03448275849223137,195.0
46,2,3.799999952316284,2.5871477127075195,0.0,10.0,1.0,3.0,0.06896551698446274,114.0
46,3,134.13333129882812,50.12832260131836,81.0,297.0,81.0,106.0,0.8620689511299133,4024.0
47,0,16.0,7.8400678634643555,4.0,39.0,11.0,25.0,0.48275861144065857,480.0
48,0,16.16666603088379,7.784956932067871,4.0,39.0,20.0,16.0,-0.13793103396892548,485.0
49,0,16.33333396911621,7.91763162612915,4.0,39.0,14.0,25.0,0.37931033968925476,490.0
49,1,18.233333587646484,8.991415977478027,3.0,39.0,13.0,23.0,0.3448275923728943,547.0
49,2,140.06666564941406,48.679176330566406,81.0,297.0,140.0,183.0,1.482758641242981,4202.0
50,0,16.633333206176758,7.993678092956543,4.0,39.0,19.0,23.0,0.13793103396892548,499.0
51,0,16.366666793823242,8.043561935424805,4.0,39.0,14.0,11.0,-0.1034482792019844,491.0
52,0,16.366666793823242,8.043561935424805,4.0,39.0,8.0,14.0,0.2068965584039688,491.0
53,0,16.633333206176758,7.8929643630981445,4.0,39.0,15.0,16.0,0.03448275849223137,499.0
54,0,16.566667556762695,7.9148945808410645,4.0,39.0,6.0,13.0,0.24137930572032928,497.0
55,0,16.733333587646484,7.741374969482422,4.0,39.0,11.0,11.0,0.0,502.0
56,0,17.0,7.676805019378662,4.0,39.0,4.0,19.0,0.517241358757019,510.0
57,0,17.299999237060547,7.330984592437744,8.0,39.0,34.0,13.0,-0.7241379022598267,519.0
