window_idx,node_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
0,0,127.4000015258789,50.14219665527344,40.0,233.0,143.0,225.0,2.8275861740112305,3822.0
0,1,4.133333206176758,3.3737549781799316,0.0,11.0,3.0,6.0,0.1034482792019844,124.0
0,2,12.366666793823242,6.715570449829102,0.0,25.0,11.0,23.0,0.4137931168079376,371.0
0,3,5.900000095367432,4.117847442626953,0.0,20.0,8.0,9.0,0.03448275849223137,177.0
0,4,94.23332977294922,31.578140258789062,30.0,180.0,104.0,89.0,-0.517241358757019,2827.0
0,5,19.83333396911621,10.782959938049316,4.0,44.0,29.0,25.0,-0.13793103396892548,595.0
0,6,36.63333511352539,13.277759552001953,11.0,64.0,49.0,48.0,-0.03448275849223137,1099.0
0,7,7.0,7.492218017578125,0.0,33.0,4.0,33.0,1.0,210.0
0,8,7.933333396911621,3.641733407974243,3.0,16.0,5.0,11.0,0.2068965584039688,238.0
0,9,117.16666412353516,48.694339752197266,20.0,239.0,139.0,139.0,0.0,3515.0
0,10,5.800000190734863,3.7982451915740967,0.0,14.0,11.0,6.0,-0.17241379618644714,174.0
0,11,2.433333396911621,2.0925793647766113,0.0,6.0,3.0,6.0,0.1034482792019844,73.0
0,12,13.699999809265137,6.885491847991943,3.0,33.0,16.0,16.0,0.0,411.0
0,13,145.1999969482422,63.415771484375,55.0,340.0,148.0,205.0,1.965517282485962,4356.0
0,14,3.566666603088379,2.4857370853424072,0.0,10.0,5.0,6.0,0.03448275849223137,107.0
0,15,2.7666666507720947,2.4177584648132324,0.0,11.0,4.0,5.0,0.03448275849223137,83.0
0,16,11.233333587646484,4.681049346923828,3.0,23.0,8.0,20.0,0.4137931168079376,337.0
0,17,7.0333333015441895,4.339611053466797,0.0,18.0,10.0,18.0,0.27586206793785095,211.0
0,18,5.9666666984558105,4.679625034332275,0.0,16.0,9.0,6.0,-0.1034482792019844,179.0
0,19,22.66666603088379,11.055416107177734,0.0,41.0,24.0,21.0,-0.1034482792019844,680.0
