product_id,store_id,seed,metric,window_size,step_size,threshold,percentile,enable_edges,enable_second_degree,ablate_z,rmse,mae,bias,r2_score,pocid
278,6269,42,baseline,,,,,,,baseline,10.676064747003311,8.056509254268962,1.9261952882596076,7.833708509133798,0.5986842105263158
278,6269,42,spearman,15,1,0.75,,True,False,True,10.473992919275013,7.951091582479041,2.196964971380296,7.774010598102341,0.5723684210526315
278,6269,42,baseline,,,,,,,baseline,10.676064747003311,8.056509254268962,1.9261952882596076,7.833708509133798,0.5986842105263158
278,6269,42,spearman,15,1,0.82,,True,False,True,10.473992919275013,7.951091582479041,2.196964971380296,7.774010598102341,0.5723684210526315
278,6269,42,spearman,15,1,0.82,,True,False,False,9.928948103976982,7.123400332880955,-1.7058224896200342,7.171779757613738,0.6118421052631579
457,6269,42,baseline,,,,,,,baseline,10.603772008301203,9.027505273035928,7.322369172487384,9.38935461553143,0.5
457,6269,42,spearman,15,1,0.82,,True,False,True,10.57501612149528,8.986426695499544,7.252875868011923,9.347333701625505,0.4934210526315789
457,6269,42,spearman,15,1,0.82,,True,False,False,8.981957338835024,7.818789438484541,6.828840567395578,8.152886170887541,0.4407894736842105
1325,6269,42,baseline,,,,,,,baseline,8.606692251019565,6.618648451673828,-0.4772290592781859,6.077315503247786,0.6381578947368421
1325,6269,42,spearman,15,1,0.82,,True,False,True,8.605247538268198,6.61782542241165,-0.4890229296840094,6.079335857158013,0.6381578947368421
1325,6269,42,spearman,15,1,0.82,,True,False,False,7.606343036216496,6.032902287501915,2.4372697344013288,5.920714523584059,0.5855263157894737
6032,6269,42,baseline,,,,,,,baseline,14.484711233236485,10.393180781524945,6.199819954586964,11.39060580064622,0.631578947368421
6032,6269,42,spearman,15,1,0.82,,True,False,True,15.19064392714144,10.76337023342357,7.029058537452049,12.043429156289626,0.631578947368421
6032,6269,42,spearman,15,1,0.82,,True,False,False,15.05860722416698,8.945001527374865,-3.1020930047128714,10.541077245105424,0.5526315789473685
13544,6269,42,baseline,,,,,,,baseline,34.039395626736344,25.43616150509493,5.28232805518543,24.699320203438262,0.631578947368421
13544,6269,42,spearman,15,1,0.82,,True,False,True,38.79449053835404,30.551487601660437,15.345215582380108,30.871421065187157,0.631578947368421
13544,6269,42,spearman,15,1,0.82,,True,False,False,38.24606143568001,29.664393412521463,18.060419961517933,31.054234061349856,0.5986842105263158
16920,6269,42,baseline,,,,,,,baseline,10.157161350693057,8.454412021181163,3.598678278669812,8.091853250309272,0.5328947368421053
16920,6269,42,spearman,15,1,0.82,,True,False,True,10.157436806030477,8.454659991794163,3.599119971780216,8.092163393908834,0.5328947368421053
