window_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23
0,-0.42424044,-0.17806612,1.3088936,5.0,0.17061055,0.4378963,0.9655172,5.0,0.027210884,6.0,0.22131516,2.0,0.25,0.033333335,0.5833333,0.3355832,3.0,2.0207093,0.0,0.0,0.7853982,1.1441132,0.12905243,1.1063191
1,-0.40585247,-0.16136305,1.3208656,5.0,0.17061055,0.42698845,0.9655172,5.0,0.034013607,6.0,0.22068948,2.0,0.25,-0.033333335,0.56666666,0.33344242,3.0,2.013766,0.0,0.0,0.7853982,1.133708,0.11180377,1.1139432
2,-0.37626812,-0.13351451,1.3415533,5.0,0.18441668,0.41821036,0.9310345,5.0,0.04761905,6.0,0.20087333,2.0,0.25,-0.1,0.53333336,0.3335648,3.0,2.0498521,0.0,0.0,0.7853982,1.1258057,0.08184556,1.1219085
3,-0.34961954,-0.10905566,1.3644036,5.0,0.18441668,0.40976393,0.9310345,5.0,0.054421768,6.0,0.1989905,3.0,0.25,-0.16666667,0.53333336,0.3359968,3.0,2.013766,0.0,0.0,0.7853982,1.1151632,0.05551865,1.1321206
4,-0.34295803,-0.103127256,1.3884832,5.0,0.18441668,0.40571272,0.9310345,5.0,0.04761905,6.0,0.19822693,3.0,0.25,-0.23333333,0.53333336,0.3342831,4.0,2.013766,0.0,0.0,0.7853982,1.1112536,0.049163874,1.1355814
5,-0.32839668,-0.0898519,1.4116344,5.0,0.18441668,0.39888012,0.8965517,5.0,0.04,6.0,0.18676844,3.0,0.2,-0.3,0.55,0.3395214,4.0,1.97768,0.0,0.0,0.7853982,1.1018198,0.034638684,1.1417031
6,-0.32100707,-0.0826355,1.420927,5.0,0.17742439,0.3999374,0.8965517,5.0,0.08,7.0,0.18521039,3.0,0.2,-0.36666667,0.5,0.34556356,4.0,1.9479197,0.0,0.0,0.7853982,1.1047002,0.026468262,1.1425328
7,-0.31688264,-0.07862504,1.4265493,5.0,0.17742439,0.39745426,0.86206895,5.0,0.08,6.0,0.18284099,3.0,0.2,-0.43333334,0.43333334,0.34957927,4.0,1.9863927,0.0,0.0,0.7853982,1.0920748,0.021929141,1.1430793
8,-0.28293523,-0.045838688,1.4369794,5.0,0.20313574,0.38878936,0.86206895,6.0,0.08,5.0,0.18271625,3.0,0.2,-0.5,0.4,0.37447804,4.0,2.0639563,0.0,0.0,0.7853982,1.0886599,-0.015291665,1.148677
9,-0.25660425,-0.492021,1.4520285,5.0,0.20313574,0.39986992,0.86206895,6.0,0.04,5.0,0.1795927,4.0,0.2,-0.56666666,0.46666667,0.39312127,4.0,1.8860124,0.0,0.0,0.5890486,1.0816339,-0.043434225,1.1568733
10,-0.18403248,-0.41624513,1.4837728,4.0,0.20313574,0.39701277,0.86206895,6.0,0.11111111,5.0,0.17902626,3.0,0.125,-0.6333333,0.46666667,0.4146942,4.0,1.8015057,0.0,0.0,0.5890486,1.0762388,-0.03072468,1.1493793
11,-0.16745725,-0.3985954,1.5008495,4.0,0.19825721,0.39145833,0.86206895,5.0,0.074074075,5.0,0.09825458,2.0,0.125,-0.7,0.43333334,0.4178559,4.0,1.8261092,0.0,0.0,0.5890486,1.0690415,-0.04888117,1.1547225
12,-0.14873224,-0.3788758,1.5108389,4.0,0.19359146,0.38167125,0.82758623,4.0,0.074074075,5.0,0.109079756,1.0,0.125,-0.76666665,0.4,0.40988177,4.0,2.0708995,0.0,0.0,0.5890486,0.768229,-0.069761135,1.1597127
13,-0.13069077,-0.3621551,1.4184785,3.0,0.108857036,0.3925001,0.82758623,3.0,0.074074075,5.0,0.09060428,1.0,0.125,-0.8333333,0.33333334,0.37951335,4.0,2.1163158,0.0,0.0,0.7853982,0.7283449,-0.09154892,1.1530951
