window_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7
0,0.12905242,1.0877241,-0.88498753,4.5619593,-0.09518021,-0.28582335,-0.006573901,3.8715725
1,0.11180376,1.0952202,-0.88498753,4.5619593,0.25887135,-0.6126402,-0.030052124,3.3541129
2,0.08184554,1.1030515,-0.88498753,4.5619593,0.04099346,-0.63987494,-0.023478221,2.4553661
3,0.055518635,1.1130921,-0.88498753,4.5619593,-0.44923177,-0.74881387,-0.010330417,1.665559
4,0.049163852,1.1164945,-0.88498753,4.5619593,-0.20411916,-0.63987494,-0.015026062,1.4749155
5,0.034638677,1.1225134,-0.88498753,4.5619593,0.04099346,-0.63987494,-0.023478221,1.0391603
6,0.026468247,1.1233293,-0.88498753,4.5619593,-0.040710744,-0.20411916,-0.005634773,0.7940474
7,0.02192914,1.1238666,-0.88498753,4.5619593,0.395045,-0.17688441,-0.019721705,0.65787417
8,-0.015291667,1.1293701,-0.88498753,4.5619593,0.06822819,-0.72157913,-0.027234735,-0.45875
9,-0.04343423,1.1374288,-0.88498753,4.5619593,-0.88498753,-0.7760486,0.003756515,-1.3030269
10,-0.030724676,1.1300607,-0.7760486,4.5619593,-0.09518021,-0.5037012,-0.014086931,-0.9217403
11,-0.048881173,1.1353139,-0.7760486,4.5619593,-0.01347601,-0.63987494,-0.021599963,-1.4664352
12,-0.06976114,1.1402204,-0.7760486,4.5619593,0.5856882,-0.63987494,-0.042260796,-2.0928342
13,-0.09154892,1.133714,-0.7760486,4.5619593,0.503984,-0.06794548,-0.019721705,-2.7464676
14,-0.12967755,1.132278,-0.7760486,4.5619593,4.5619593,-0.63987494,-0.17937359,-3.8903265
15,-0.29671726,0.7237678,-0.7760486,3.3363965,3.3363965,-0.44923177,-0.13053891,-8.901518
16,-0.4111032,0.26856267,-0.7760486,0.25887135,-0.28582335,-0.09518021,0.006573901,-12.333096
17,-0.41745794,0.26777747,-0.7760486,0.25887135,-0.2313539,-0.4764665,-0.008452159,-12.523738
18,-0.42653617,0.26592442,-0.7760486,0.25887135,-0.040710744,-0.5037012,-0.015965188,-12.796085
19,-0.43289095,0.2588112,-0.7760486,0.25887135,-0.14964968,-0.2313539,-0.0028173868,-12.986729
20,-0.442877,0.25341317,-0.7760486,0.25887135,0.25887135,-0.44923177,-0.024417348,-13.28631
21,-0.46375698,0.2180745,-0.7760486,-0.01347601,-0.01347601,-0.36752757,-0.012208674,-13.912709
22,-0.46557263,0.21451569,-0.7760486,-0.06794548,-0.5037012,-0.06794548,0.01502606,-13.967178
23,-0.47283524,0.21931808,-0.7760486,-0.06794548,-0.5037012,-0.72157913,-0.007513032,-14.185058
24,-0.46557269,0.22176945,-0.7760486,-0.06794548,-0.63987494,-0.28582335,0.012208676,-13.96718
25,-0.45558658,0.22043692,-0.7760486,-0.06794548,-0.17688441,-0.34029284,-0.0056347735,-13.667598
