run_timestamp,total_elapsed_s,total_elapsed_min,products,seeds,metrics
2026-06-01 22:38:44,86964.17,1449.40,"[(26220, 6269), (904144, 6269), (545598, 6269), (48369, 6269), (6032, 6269), (606214, 6269), (916110, 6269), (30534, 6269), (545597, 6269), (900087600, 6269), (151828, 6269), (587317, 6269), (921558, 6269), (907967, 6269), (919137, 6269), (110187, 6269), (26372, 6269), (13544, 6269), (26076, 6269), (457, 6269), (936693, 6269), (680152, 6269), (908786, 6269), (26768, 6269), (911753, 6269), (907970, 6269), (213642, 6269), (933457, 6269), (213633, 6269), (915640, 6269), (1325, 6269), (933442, 6269), (16920, 6269), (26002, 6269), (545602, 6269), (213627, 6269), (932812, 6269), (26008, 6269), (538923, 6269), (500057, 6269), (912509, 6269), (213636, 6269), (213631, 6269), (18568, 6269), (278, 6269), (606230, 6269), (213628, 6269), (151815, 6269), (213629, 6269), (213626, 6269), (907969, 6269), (500056, 6269), (151821, 6269), (213630, 6269), (26924, 6269), (48375, 6269), (918537, 6269), (582893, 6269), (25032, 6269), (213625, 6269), (213624, 6269)]","[42, 1000, 26008]"

2026-06-02 14:21:46,823.88,13.73,"[(26008, 6269)]",[42]
2026-06-02 15:02:25,0.03,0.00,"[(26008, 6269)]",[42]
2026-06-02 17:08:27,0.03,0.00,"[(26008, 6269)]",[42]
2026-06-02 17:42:46,78.85,1.31,"[(26008, 6269)]",[42]
2026-06-02 18:30:32,0.03,0.00,"[(26008, 6269)]",[42]
2026-06-02 18:44:58,700.76,11.68,"[(26008, 6269)]",[42]
2026-06-02 23:23:07,525.06,8.75,"[(26002, 6269)]",[42]
2026-06-03 13:28:48,7.80,0.13,"[(26002, 6269)]",[42]
2026-06-03 13:33:29,114.16,1.90,"[(26002, 6269)]",[42]
2026-06-03 13:43:08,113.72,1.90,"[(26002, 6269)]",[42]
2026-06-03 15:41:38,108.74,1.81,"[(26002, 6269)]",[42]
