window_start,window_end,n_active_nodes,holiday_tag
2021-01-23,2021-02-21,1416,
2021-01-24,2021-02-22,1415,
2021-01-25,2021-02-23,1415,
2021-01-26,2021-02-24,1415,
2021-01-27,2021-02-25,1418,
2021-01-28,2021-02-26,1419,
2021-01-29,2021-02-27,1419,
2021-01-30,2021-02-28,1419,
2021-01-31,2021-03-01,1419,
2021-02-01,2021-03-02,1420,
2021-02-02,2021-03-03,1420,
2021-02-03,2021-03-04,1421,
2021-02-04,2021-03-05,1421,
2021-02-05,2021-03-06,1420,
2021-02-06,2021-03-07,1420,
2021-02-07,2021-03-08,1420,
2021-02-08,2021-03-09,1420,
2021-02-09,2021-03-10,1420,
2021-02-10,2021-03-11,1421,
2021-02-11,2021-03-12,1421,
2021-02-12,2021-03-13,1421,
2021-02-13,2021-03-14,1421,
2021-02-14,2021-03-15,1422,
2021-02-15,2021-03-16,1422,
2021-02-16,2021-03-17,1422,
2021-02-17,2021-03-18,1422,
2021-02-18,2021-03-19,1422,
2021-02-19,2021-03-20,1422,
2021-02-20,2021-03-21,1421,
2021-02-21,2021-03-22,1421,
2021-02-22,2021-03-23,1422,
2021-02-23,2021-03-24,1422,
2021-02-24,2021-03-25,1422,
2021-02-25,2021-03-26,1422,
2021-02-26,2021-03-27,1422,
2021-02-27,2021-03-28,1422,
2021-02-28,2021-03-29,1422,
2021-03-01,2021-03-30,1422,
2021-03-02,2021-03-31,1422,
2021-03-03,2021-04-01,1422,
2021-03-04,2021-04-02,1422,
2021-03-05,2021-04-03,1425,
2021-03-06,2021-04-04,1425,
2021-03-07,2021-04-05,1425,
2021-03-08,2021-04-06,1425,
2021-03-09,2021-04-07,1425,
2021-03-10,2021-04-08,1424,
2021-03-11,2021-04-09,1424,
2021-03-12,2021-04-10,1425,
2021-03-13,2021-04-11,1424,
2021-03-14,2021-04-12,1424,
2021-03-15,2021-04-13,1424,
2021-03-16,2021-04-14,1424,
2021-03-17,2021-04-15,1424,
2021-03-18,2021-04-16,1424,
2021-03-19,2021-04-17,1424,
2021-03-20,2021-04-18,1424,
2021-03-21,2021-04-19,1424,
2021-03-22,2021-04-20,1424,
2021-03-23,2021-04-21,1423,
2021-03-24,2021-04-22,1424,
2021-03-25,2021-04-23,1424,
2021-03-26,2021-04-24,1424,
2021-03-27,2021-04-25,1424,
2021-03-28,2021-04-26,1424,
2021-03-29,2021-04-27,1424,
2021-03-30,2021-04-28,1424,
2021-03-31,2021-04-29,1424,
2021-04-01,2021-04-30,1424,
2021-04-02,2021-05-01,1424,
2021-04-03,2021-05-02,1424,
2021-04-04,2021-05-03,1424,
2021-04-05,2021-05-04,1424,
2021-04-06,2021-05-05,1424,
2021-04-07,2021-05-06,1424,
2021-04-08,2021-05-07,1424,
2021-04-09,2021-05-08,1424,
2021-04-10,2021-05-09,1423,
2021-04-11,2021-05-10,1423,
2021-04-12,2021-05-11,1423,
2021-04-13,2021-05-12,1423,
2021-04-14,2021-05-13,1425,
2021-04-15,2021-05-14,1425,
2021-04-16,2021-05-15,1425,
2021-04-17,2021-05-16,1425,
2021-04-18,2021-05-17,1425,
2021-04-19,2021-05-18,1425,
2021-04-20,2021-05-19,1424,
2021-04-21,2021-05-20,1424,
2021-04-22,2021-05-21,1424,
2021-04-23,2021-05-22,1424,
2021-04-24,2021-05-23,1423,
2021-04-25,2021-05-24,1423,
2021-04-26,2021-05-25,1423,
2021-04-27,2021-05-26,1423,
2021-04-28,2021-05-27,1423,
2021-04-29,2021-05-28,1423,
2021-04-30,2021-05-29,1423,
2021-05-01,2021-05-30,1423,
2021-05-02,2021-05-31,1422,
2021-05-03,2021-06-01,1422,
2021-05-04,2021-06-02,1421,
2021-05-05,2021-06-03,1421,
2021-05-06,2021-06-04,1421,
2021-05-07,2021-06-05,1421,
2021-05-08,2021-06-06,1420,
2021-05-09,2021-06-07,1420,
2021-05-10,2021-06-08,1420,
2021-05-11,2021-06-09,1421,
2021-05-12,2021-06-10,1422,
2021-05-13,2021-06-11,1422,
2021-05-14,2021-06-12,1422,
2021-05-15,2021-06-13,1421,
2021-05-16,2021-06-14,1421,
2021-05-17,2021-06-15,1421,
2021-05-18,2021-06-16,1422,
2021-05-19,2021-06-17,1422,
2021-05-20,2021-06-18,1422,
2021-05-21,2021-06-19,1422,
2021-05-22,2021-06-20,1421,
2021-05-23,2021-06-21,1421,
2021-05-24,2021-06-22,1421,
2021-05-25,2021-06-23,1421,
2021-05-26,2021-06-24,1422,
2021-05-27,2021-06-25,1422,
2021-05-28,2021-06-26,1422,
2021-05-29,2021-06-27,1421,
2021-05-30,2021-06-28,1421,
2021-05-31,2021-06-29,1421,
2021-06-01,2021-06-30,1421,
2021-06-02,2021-07-01,1422,
2021-06-03,2021-07-02,1422,
2021-06-04,2021-07-03,1422,
2021-06-05,2021-07-04,1422,
