Node,Mean_Degree,Median_Degree,Std_Degree,Max_Degree,Zero_Degree_Windows,Mean_Betweenness,Mean_Eigenvector,Degree_Stability
911753,4.296849087893864,3.0,4.105544528569222,39,27,0.0025749326672974836,0.020672840970060755,1.0465940856450657
907969,4.398009950248756,3.0,4.141461597762132,39,34,0.0025700360438394828,0.01997198990808505,1.0619437671926197
213625,3.611940298507463,3.0,3.3727013620189417,31,64,0.0020116120481362414,0.014247777073304546,1.0709307470489606
110187,3.33167495854063,2.0,3.8170571631671124,40,82,0.0014516618055901895,0.013929296945272878,0.8728363468921148
26008,3.728026533996683,3.0,4.204435064890962,35,56,0.0016421528087266467,0.012934669258631097,0.8866869411916947
213627,3.5107794361525704,3.0,3.4073084882019145,33,62,0.002057180170884989,0.011697722417401005,1.030364331455629
538923,3.315091210613599,3.0,3.195698983011737,24,60,0.0017064113730076039,0.011190693370345726,1.0373570397794332
151821,3.540630182421227,3.0,3.7180378213977883,28,81,0.0016796706684879454,0.010963990314993425,0.9522820449066033
213628,3.648424543946932,3.0,3.9084604416243667,33,59,0.0020086238773497395,0.010941818135588649,0.9334660702795645
213629,3.7844112769485903,3.0,3.847846949391631,34,50,0.0020380354641195628,0.01091832970836138,0.9835114264180034
26862,2.701492537313433,2.0,3.3984360505843183,29,131,0.000950042011836761,0.010806624334692582,0.7949199419684613
299446,2.087893864013267,1.0,2.8773552974574517,33,184,0.0007698379739976041,0.010501241219240188,0.7256269705685992
100472,2.431177446102819,2.0,2.9241074566322713,19,166,0.0008679797485081035,0.01034382247855391,0.8314226367988736
70089,2.855721393034826,2.0,3.486635883827192,30,154,0.0012787001464089488,0.00981430738448419,0.8190454345481686
18568,2.470978441127695,2.0,2.7811978648385747,20,136,0.0009886270144573005,0.009661161047759713,0.8884551465451554
213630,3.097844112769486,2.0,3.628527836137252,34,104,0.0012750212726671062,0.00962129546467281,0.8537444702705059
151828,3.3383084577114426,3.0,3.477715142348709,32,78,0.0017864317726722667,0.009582751021427627,0.9599115286773036
26924,3.2122719734660032,2.0,3.944227511063744,37,93,0.0015722986036023942,0.009540079219652038,0.814421536343958
70082,2.7794361525704807,2.0,3.0276955448423966,32,102,0.00138430494558096,0.00942796250002255,0.9180008132908317
904,3.0945273631840795,2.0,3.6350085006546666,26,97,0.0012815066669641466,0.009357635801614809,0.8513099349086546
146765,2.538971807628524,2.0,2.973022472907409,22,158,0.0009397632606483707,0.008967933367345544,0.8540006981980909
18594,2.625207296849088,2.0,3.6915251534679254,37,154,0.0010526203003216957,0.008915816637554173,0.7111424347084706
48375,2.6882255389718077,2.0,3.0248792586751874,30,118,0.001205112424355727,0.00883228397991117,0.8887021338920591
932812,3.527363184079602,3.0,3.7563210423990596,39,59,0.0022233434618955518,0.00876900255131217,0.9390448137464417
119461,2.8225538971807627,2.0,3.4612312121762665,26,133,0.0009643032631088433,0.008764742059232588,0.8154744856415461
907967,3.140961857379768,2.0,3.513305257783052,31,86,0.0014878834879004416,0.008740115656789404,0.8940165134402871
213626,3.252072968490879,2.0,3.2069795641730954,26,77,0.0017022656976391,0.00872640558991774,1.0140578581300772
11342,2.5505804311774463,2.0,2.8410656261261145,29,136,0.0010584838285704974,0.008691410859154466,0.897751685214812
298496,2.3117744610281923,1.0,3.0369166963290724,21,174,0.0007038086756537791,0.008477298466316733,0.761221686326042
360,2.3018242122719736,2.0,2.415081138268869,20,128,0.0010444079410742288,0.008416069428280661,0.9531003512860865
117932,2.439469320066335,1.0,3.0983172638760768,22,169,0.0008380827426554964,0.008408496918446324,0.7873504353489451
3520,2.769485903814262,2.0,3.2176334588750075,23,114,0.001353584929287382,0.008303810107492563,0.86071870274358
26702,3.330016583747927,2.0,3.9565062187610414,34,80,0.0016141095251150398,0.008294537164714651,0.8416537174693299
656409,2.172470978441128,1.0,2.850056884085693,20,182,0.0008122023439617861,0.008241660239855163,0.7622526301301383
