source,target,weight
1325,278,1.0
213625,545598,1.0
606230,545598,1.0
538923,545598,1.0
500057,545598,1.0
213631,545598,1.0
213628,545598,1.0
213627,545598,1.0
110187,545598,1.0
26002,545598,1.0
48375,545598,1.0
48369,545598,1.0
30534,545598,1.0
26924,545598,1.0
26768,545598,1.0
26220,545598,1.0
680152,545598,1.0
911753,545598,1.0
278,545602,1.0
1325,545602,1.0
13544,545602,1.0
26076,545602,1.0
26768,545602,1.0
48369,545602,1.0
151828,545602,1.0
213624,545602,1.0
213629,545602,1.0
500056,545602,1.0
908786,545602,1.0
919137,545602,1.0
936693,545602,1.0
457,582893,1.0
6032,582893,1.0
26076,545598,1.0
18568,545598,1.0
25032,538923,1.0
213624,538923,1.0
907967,538923,1.0
582893,538923,1.0
545597,538923,1.0
500056,538923,1.0
213642,538923,1.0
213631,538923,1.0
151821,538923,1.0
13544,545598,1.0
151815,538923,1.0
110187,538923,1.0
26924,538923,1.0
26768,538923,1.0
26372,538923,1.0
26008,538923,1.0
921558,538923,1.0
278,545597,1.0
6032,545597,1.0
13544,545597,1.0
16920,545597,1.0
30534,545597,1.0
48369,545597,1.0
151815,545597,1.0
213631,545597,1.0
500056,545597,1.0
545602,545597,1.0
680152,545597,1.0
904144,545597,1.0
907970,545597,1.0
908786,545597,1.0
911753,545597,1.0
919137,545597,1.0
13544,582893,1.0
25032,582893,1.0
26002,582893,1.0
545602,606214,1.0
6032,606230,1.0
457,606230,1.0
918537,606214,1.0
911753,606214,1.0
908786,606214,1.0
907970,606214,1.0
213631,606214,1.0
26076,582893,1.0
213629,606214,1.0
213627,606214,1.0
30534,606214,1.0
26008,606214,1.0
13544,606214,1.0
6032,606214,1.0
13544,606230,1.0
48375,606230,1.0
110187,606230,1.0
213628,606230,1.0
213631,606230,1.0
500056,606230,1.0
545597,606230,1.0
606214,606230,1.0
680152,606230,1.0
904144,606230,1.0
907970,606230,1.0
908786,606230,1.0
921558,606230,1.0
932812,606230,1.0
933442,606230,1.0
936693,606230,1.0
900087600,606230,1.0
606214,587317,1.0
545597,587317,1.0
538923,587317,1.0
457,587317,1.0
26220,582893,1.0
26372,582893,1.0
26924,582893,1.0
110187,582893,1.0
151821,582893,1.0
213625,582893,1.0
213627,582893,1.0
213631,582893,1.0
213636,582893,1.0
545597,582893,1.0
545598,582893,1.0
545602,582893,1.0
606230,582893,1.0
907967,582893,1.0
6032,587317,1.0
213633,587317,1.0
16920,587317,1.0
25032,587317,1.0
26002,587317,1.0
26220,587317,1.0
26924,587317,1.0
30534,587317,1.0
48369,587317,1.0
110187,587317,1.0
151821,587317,1.0
151828,587317,1.0
213625,587317,1.0
213627,587317,1.0
213628,587317,1.0
213631,587317,1.0
26002,538923,1.0
6032,538923,1.0
13544,680152,1.0
213627,213633,1.0
907967,213633,1.0
606230,213633,1.0
606214,213633,1.0
545597,213633,1.0
6032,278,1.0
213631,213633,1.0
110187,213633,1.0
936693,213631,1.0
48369,213633,1.0
30534,213633,1.0
25032,213633,1.0
18568,213633,1.0
