Step,X,Predicted_Y_Scaled,Predicted_Y_Unscaled,dow_sin_Unscaled,dow_cos_Unscaled,month_sin_Unscaled,month_cos_Unscaled,is_weekend_Unscaled,is_holiday_Unscaled,is_christmas_Unscaled,is_black_friday_Unscaled,dow_sin_Scaled,dow_cos_Scaled,month_sin_Scaled,month_cos_Scaled,is_weekend_Scaled,is_holiday_Scaled,is_christmas_Scaled,is_black_friday_Scaled
0,"[[0.0967741935483871, 0.0, 0.3568958678922094, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0], [0.4838709677419355, 0.0990311320975808, 0.8019377358048383, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0], [0.16129032258064516, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.25806451612903225, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.1935483870967742, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.25806451612903225, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5161290322580645, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0]]",0.8306169509887695,25.749125480651855,-0.43388373911755795,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,0.27747906604368566,0.0,0.06698729810778076,0.24999999999999978,0.0,0.0,0.0,0.0
1,"[[0.4838709677419355, 0.0990311320975808, 0.8019377358048383, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0], [0.16129032258064516, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.25806451612903225, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.1935483870967742, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.25806451612903225, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5161290322580645, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.8306169509887695, 0.0990311320975808, 0.8019377358048383, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0]]",0.4113534986972809,12.751958459615707,-0.7818314824680299,0.6234898018587335,-0.8660254037844385,-0.5000000000000004,1.0,0.0,0.0,0.0,0.0990311320975808,0.8019377358048383,0.06698729810778076,0.24999999999999978,1.0,0.0,0.0,0.0
2,"[[0.16129032258064516, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.25806451612903225, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.1935483870967742, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.25806451612903225, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5161290322580645, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.8306169509887695, 0.0990311320975808, 0.8019377358048383, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0], [0.4113534986972809, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0]]",0.4238985776901245,13.14085590839386,0.0,0.9999999999999998,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,0.5,1.0,0.06698729810778076,0.24999999999999978,0.0,0.0,0.0,0.0
3,"[[0.25806451612903225, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.1935483870967742, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.25806451612903225, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5161290322580645, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.8306169509887695, 0.0990311320975808, 0.8019377358048383, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0], [0.4113534986972809, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4238985776901245, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0]]",0.4504019618034363,13.962460815906525,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,0.9009688679024191,0.8019377358048384,0.06698729810778076,0.24999999999999978,0.0,0.0,0.0,0.0
4,"[[0.1935483870967742, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.25806451612903225, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5161290322580645, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.8306169509887695, 0.0990311320975808, 0.8019377358048383, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0], [0.4113534986972809, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4238985776901245, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4504019618034363, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0]]",0.5497682094573975,17.04281449317932,0.9749279121818235,-0.2225209339563144,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,1.0,0.3568958678922095,0.06698729810778076,0.24999999999999978,0.0,0.0,0.0,0.0
5,"[[0.25806451612903225, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5161290322580645, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.8306169509887695, 0.0990311320975808, 0.8019377358048383, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0], [0.4113534986972809, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4238985776901245, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4504019618034363, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5497682094573975, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0]]",0.673965573310852,20.892932772636414,0.4338837391175582,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,0.7225209339563144,5.551115123125783e-17,0.06698729810778076,0.24999999999999978,0.0,0.0,0.0,0.0
6,"[[0.5161290322580645, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.8306169509887695, 0.0990311320975808, 0.8019377358048383, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0], [0.4113534986972809, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4238985776901245, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4504019618034363, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5497682094573975, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.673965573310852, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0]]",0.7938179969787598,24.608357906341553,-0.43388373911755795,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0,0.0,0.27747906604368566,0.0,0.06698729810778076,0.24999999999999978,0.0,0.0,0.0,0.0
7,"[[0.8306169509887695, 0.0990311320975808, 0.8019377358048383, 0.06698729810778076, 0.24999999999999978, 1.0, 0.0, 0.0, 0.0], [0.4113534986972809, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4238985776901245, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4504019618034363, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5497682094573975, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.673965573310852, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.7938179969787598, 0.0, 0.3568958678922094, 0.0, 0.4999999999999999, 1.0, 0.0, 0.0, 0.0]]",0.41835126280784607,12.968889147043228,-0.9749279121818235,-0.2225209339563146,-1.0,-2.220446049250313e-16,1.0,0.0,0.0,0.0,0.0,0.3568958678922094,0.0,0.4999999999999999,1.0,0.0,0.0,0.0
8,"[[0.4113534986972809, 0.5, 1.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4238985776901245, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4504019618034363, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5497682094573975, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.673965573310852, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.7938179969787598, 0.0, 0.3568958678922094, 0.0, 0.4999999999999999, 1.0, 0.0, 0.0, 0.0], [0.41835126280784607, 0.0990311320975808, 0.8019377358048383, 0.0, 0.4999999999999999, 1.0, 0.0, 0.0, 0.0]]",0.40800777077674866,12.648240894079208,-0.7818314824680299,0.6234898018587335,-1.0,-2.220446049250313e-16,1.0,0.0,0.0,0.0,0.0990311320975808,0.8019377358048383,0.0,0.4999999999999999,1.0,0.0,0.0,0.0
9,"[[0.4238985776901245, 0.9009688679024191, 0.8019377358048384, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.4504019618034363, 1.0, 0.3568958678922095, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.5497682094573975, 0.7225209339563144, 5.551115123125783e-17, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.673965573310852, 0.27747906604368566, 0.0, 0.06698729810778076, 0.24999999999999978, 0.0, 0.0, 0.0, 0.0], [0.7938179969787598, 0.0, 0.3568958678922094, 0.0, 0.4999999999999999, 1.0, 0.0, 0.0, 0.0], [0.41835126280784607, 0.0990311320975808, 0.8019377358048383, 0.0, 0.4999999999999999, 1.0, 0.0, 0.0, 0.0], [0.40800777077674866, 0.5, 1.0, 0.0, 0.4999999999999999, 0.0, 0.0, 0.0, 0.0]]",0.41778823733329773,12.95143535733223,0.0,0.9999999999999998,-1.0,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0
