seed,loss_type,item_id,store_id,batch_size,hidden_size,dropout,rmse,mae,train_time,inference_time,best_epoch,plot_path
42,MSELoss,26008,6269,32,32,0.0,62.54714628032601,37.86759567260742,15.402670860290527,0.09036445617675781,142,grid_search_plots/seed_42/MSELoss/lstm_item26008_store6269.png
42,MSELoss,921558,6269,32,32,0.0,5.2734991677528535,4.145149230957031,16.19091296195984,0.090057373046875,33,grid_search_plots/seed_42/MSELoss/lstm_item921558_store6269.png
351,MSELoss,26008,6269,32,32,0.0,61.81534174142674,34.357337951660156,16.217912673950195,0.10266351699829102,139,grid_search_plots/seed_351/MSELoss/lstm_item26008_store6269.png
351,MSELoss,921558,6269,32,32,0.0,5.224697903747622,4.13841438293457,15.197514772415161,0.08315396308898926,37,grid_search_plots/seed_351/MSELoss/lstm_item921558_store6269.png
789,MSELoss,26008,6269,32,32,0.0,62.24069646842811,36.259376525878906,14.249745845794678,0.0912618637084961,135,grid_search_plots/seed_789/MSELoss/lstm_item26008_store6269.png
789,MSELoss,921558,6269,32,32,0.0,5.293640229259168,4.161470890045166,15.200159788131714,0.10254430770874023,32,grid_search_plots/seed_789/MSELoss/lstm_item921558_store6269.png
1471,MSELoss,26008,6269,32,32,0.0,59.97638695509675,33.59303665161133,16.179903268814087,0.14080119132995605,137,grid_search_plots/seed_1471/MSELoss/lstm_item26008_store6269.png
1471,MSELoss,921558,6269,32,32,0.0,5.273844204513577,4.145866870880127,14.419653177261353,0.10278677940368652,36,grid_search_plots/seed_1471/MSELoss/lstm_item921558_store6269.png
2024,MSELoss,26008,6269,32,32,0.0,62.21255384139724,36.606170654296875,13.484710931777954,0.07752466201782227,145,grid_search_plots/seed_2024/MSELoss/lstm_item26008_store6269.png
2024,MSELoss,921558,6269,32,32,0.0,5.251180062049613,4.138900279998779,14.050400018692017,0.07411909103393555,38,grid_search_plots/seed_2024/MSELoss/lstm_item921558_store6269.png
