Step,X,Predicted_Y_Scaled,Predicted_Y_Unscaled,day_of_week_Unscaled,doy_Unscaled,is_thanksgiving_Unscaled,is_christmas_Unscaled,is_weekend_Unscaled,day_of_week_Scaled,doy_Scaled,is_thanksgiving_Scaled,is_christmas_Scaled,is_weekend_Scaled
0,"[[0.0967741935483871, 1.0, 0.7142857142857143, 0.0, 0.0, 1.0], [0.4838709677419355, 0.0, 0.717032967032967, 0.0, 0.0, 0.0], [0.16129032258064516, 0.16666666666666666, 0.7197802197802199, 0.0, 0.0, 0.0], [0.25806451612903225, 0.3333333333333333, 0.7225274725274726, 0.0, 0.0, 0.0], [0.1935483870967742, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0], [0.25806451612903225, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0], [0.5161290322580645, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0]]",0.24499331414699554,7.594792738556862,5.0,266.0,0.0,0.0,1.0,0.8333333333333333,0.7307692307692308,0.0,0.0,1.0
1,"[[0.4838709677419355, 0.0, 0.717032967032967, 0.0, 0.0, 0.0], [0.16129032258064516, 0.16666666666666666, 0.7197802197802199, 0.0, 0.0, 0.0], [0.25806451612903225, 0.3333333333333333, 0.7225274725274726, 0.0, 0.0, 0.0], [0.1935483870967742, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0], [0.25806451612903225, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0], [0.5161290322580645, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0], [0.24499331414699554, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0]]",0.26838546991348267,8.319949567317963,6.0,267.0,0.0,0.0,1.0,1.0,0.7335164835164836,0.0,0.0,1.0
2,"[[0.16129032258064516, 0.16666666666666666, 0.7197802197802199, 0.0, 0.0, 0.0], [0.25806451612903225, 0.3333333333333333, 0.7225274725274726, 0.0, 0.0, 0.0], [0.1935483870967742, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0], [0.25806451612903225, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0], [0.5161290322580645, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0], [0.24499331414699554, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0], [0.26838546991348267, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0]]",0.24654744565486908,7.6429708153009415,0.0,268.0,0.0,0.0,0.0,0.0,0.7362637362637363,0.0,0.0,0.0
3,"[[0.25806451612903225, 0.3333333333333333, 0.7225274725274726, 0.0, 0.0, 0.0], [0.1935483870967742, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0], [0.25806451612903225, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0], [0.5161290322580645, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0], [0.24499331414699554, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0], [0.26838546991348267, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0], [0.24654744565486908, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0]]",0.232301726937294,7.201353535056114,1.0,269.0,0.0,0.0,0.0,0.16666666666666666,0.739010989010989,0.0,0.0,0.0
4,"[[0.1935483870967742, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0], [0.25806451612903225, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0], [0.5161290322580645, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0], [0.24499331414699554, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0], [0.26838546991348267, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0], [0.24654744565486908, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0], [0.232301726937294, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0]]",0.2248585969209671,6.97061650454998,2.0,270.0,0.0,0.0,0.0,0.3333333333333333,0.7417582417582418,0.0,0.0,0.0
5,"[[0.25806451612903225, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0], [0.5161290322580645, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0], [0.24499331414699554, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0], [0.26838546991348267, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0], [0.24654744565486908, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0], [0.232301726937294, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0], [0.2248585969209671, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0]]",0.2223564237356186,6.893049135804176,3.0,271.0,0.0,0.0,0.0,0.5,0.7445054945054945,0.0,0.0,0.0
6,"[[0.5161290322580645, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0], [0.24499331414699554, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0], [0.26838546991348267, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0], [0.24654744565486908, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0], [0.232301726937294, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0], [0.2248585969209671, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0], [0.2223564237356186, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0]]",0.22282962501049042,6.907718375325203,4.0,272.0,0.0,0.0,0.0,0.6666666666666666,0.7472527472527473,0.0,0.0,0.0
7,"[[0.24499331414699554, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0], [0.26838546991348267, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0], [0.24654744565486908, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0], [0.232301726937294, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0], [0.2248585969209671, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0], [0.2223564237356186, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0], [0.22282962501049042, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0]]",0.24214856326580048,7.506605461239815,5.0,273.0,0.0,0.0,1.0,0.8333333333333333,0.7500000000000001,0.0,0.0,1.0
8,"[[0.26838546991348267, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0], [0.24654744565486908, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0], [0.232301726937294, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0], [0.2248585969209671, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0], [0.2223564237356186, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0], [0.22282962501049042, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0], [0.24214856326580048, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0]]",0.2646127939224243,8.202996611595154,6.0,274.0,0.0,0.0,1.0,1.0,0.7527472527472528,0.0,0.0,1.0
9,"[[0.24654744565486908, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0], [0.232301726937294, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0], [0.2248585969209671, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0], [0.2223564237356186, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0], [0.22282962501049042, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0], [0.24214856326580048, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0], [0.2646127939224243, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0]]",0.24393676221370697,7.562039628624916,0.0,275.0,0.0,0.0,0.0,0.0,0.7554945054945056,0.0,0.0,0.0
