Step,X,Predicted_Y_Scaled,Predicted_Y_Unscaled,day_of_week_Unscaled,doy_Unscaled,is_thanksgiving_Unscaled,is_christmas_Unscaled,is_weekend_Unscaled,rolling_mean_3_Unscaled,rolling_mean_5_Unscaled,day_of_week_Scaled,doy_Scaled,is_thanksgiving_Scaled,is_christmas_Scaled,is_weekend_Scaled,rolling_mean_3_Scaled,rolling_mean_5_Scaled
0,"[[0.5135135135135136, 1.0, 0.7142857142857143, 0.0, 0.0, 1.0, 0.5111111111111111, 0.35], [0.6216216216216217, 0.0, 0.717032967032967, 0.0, 0.0, 0.0, 0.6222222222222222, 0.46], [0.17567567567567569, 0.16666666666666666, 0.7197802197802199, 0.0, 0.0, 0.0, 0.538888888888889, 0.5033333333333333], [0.31081081081081086, 0.3333333333333333, 0.7225274725274726, 0.0, 0.0, 0.0, 0.45555555555555555, 0.49333333333333335], [0.013513513513513514, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0, 0.20555555555555557, 0.4033333333333333], [0.2567567567567568, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0, 0.2388888888888889, 0.33999999999999997], [0.3918918918918919, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0, 0.2722222222222222, 0.2833333333333333]]",0.46222957968711853,34.20498889684677,5.0,266.0,0.0,0.0,1.0,16.333333333333332,17.0,0.8333333333333333,0.7307692307692308,0.0,0.0,1.0,0.2722222222222222,0.2833333333333333
1,"[[0.6216216216216217, 0.0, 0.717032967032967, 0.0, 0.0, 0.0, 0.6222222222222222, 0.46], [0.17567567567567569, 0.16666666666666666, 0.7197802197802199, 0.0, 0.0, 0.0, 0.538888888888889, 0.5033333333333333], [0.31081081081081086, 0.3333333333333333, 0.7225274725274726, 0.0, 0.0, 0.0, 0.45555555555555555, 0.49333333333333335], [0.013513513513513514, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0, 0.20555555555555557, 0.4033333333333333], [0.2567567567567568, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0, 0.2388888888888889, 0.33999999999999997], [0.3918918918918919, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0, 0.2722222222222222, 0.2833333333333333], [0.46222957968711853, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0, 0.4566943827602598, 0.35401662965615593]]",0.4198104441165924,31.065972864627838,6.0,267.0,0.0,0.0,1.0,27.40166296561559,21.240997779369355,1.0,0.7335164835164836,0.0,0.0,1.0,0.4566943827602598,0.35401662965615593
2,"[[0.17567567567567569, 0.16666666666666666, 0.7197802197802199, 0.0, 0.0, 0.0, 0.538888888888889, 0.5033333333333333], [0.31081081081081086, 0.3333333333333333, 0.7225274725274726, 0.0, 0.0, 0.0, 0.45555555555555555, 0.49333333333333335], [0.013513513513513514, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0, 0.20555555555555557, 0.4033333333333333], [0.2567567567567568, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0, 0.2388888888888889, 0.33999999999999997], [0.3918918918918919, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0, 0.2722222222222222, 0.2833333333333333], [0.46222957968711853, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0, 0.4566943827602598, 0.35401662965615593], [0.4198104441165924, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0, 0.5237275653415255, 0.38090320587158205]]",0.30281466245651245,22.40828502178192,0.0,268.0,0.0,0.0,0.0,31.42365392049153,22.854192352294923,0.0,0.7362637362637363,0.0,0.0,0.0,0.5237275653415255,0.38090320587158205
3,"[[0.31081081081081086, 0.3333333333333333, 0.7225274725274726, 0.0, 0.0, 0.0, 0.45555555555555555, 0.49333333333333335], [0.013513513513513514, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0, 0.20555555555555557, 0.4033333333333333], [0.2567567567567568, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0, 0.2388888888888889, 0.33999999999999997], [0.3918918918918919, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0, 0.2722222222222222, 0.2833333333333333], [0.46222957968711853, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0, 0.4566943827602598, 0.35401662965615593], [0.4198104441165924, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0, 0.5237275653415255, 0.38090320587158205], [0.30281466245651245, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0, 0.48710692657364735, 0.45226415594418845]]",0.33192211389541626,24.562236428260803,1.0,269.0,0.0,0.0,0.0,29.226415594418842,27.135849356651306,0.16666666666666666,0.739010989010989,0.0,0.0,0.0,0.48710692657364735,0.45226415594418845
4,"[[0.013513513513513514, 0.5, 0.7252747252747254, 0.0, 0.0, 0.0, 0.20555555555555557, 0.4033333333333333], [0.2567567567567568, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0, 0.2388888888888889, 0.33999999999999997], [0.3918918918918919, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0, 0.2722222222222222, 0.2833333333333333], [0.46222957968711853, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0, 0.4566943827602598, 0.35401662965615593], [0.4198104441165924, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0, 0.5237275653415255, 0.38090320587158205], [0.30281466245651245, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0, 0.48710692657364735, 0.45226415594418845], [0.33192211389541626, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0, 0.4335360795259476, 0.47080494403839107]]",0.30924445390701294,22.884089589118958,2.0,270.0,0.0,0.0,0.0,26.012164771556854,28.248296642303465,0.3333333333333333,0.7417582417582418,0.0,0.0,0.0,0.4335360795259476,0.47080494403839107
5,"[[0.2567567567567568, 0.6666666666666666, 0.7280219780219781, 0.0, 0.0, 0.0, 0.2388888888888889, 0.33999999999999997], [0.3918918918918919, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0, 0.2722222222222222, 0.2833333333333333], [0.46222957968711853, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0, 0.4566943827602598, 0.35401662965615593], [0.4198104441165924, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0, 0.5237275653415255, 0.38090320587158205], [0.30281466245651245, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0, 0.48710692657364735, 0.45226415594418845], [0.33192211389541626, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0, 0.4335360795259476, 0.47080494403839107], [0.30924445390701294, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0, 0.3880812009175618, 0.45041859944661455]]",0.34890326857566833,25.818841874599457,3.0,271.0,0.0,0.0,0.0,23.28487205505371,27.025115966796875,0.5,0.7445054945054945,0.0,0.0,0.0,0.3880812009175618,0.45041859944661455
6,"[[0.3918918918918919, 0.8333333333333333, 0.7307692307692308, 0.0, 0.0, 1.0, 0.2722222222222222, 0.2833333333333333], [0.46222957968711853, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0, 0.4566943827602598, 0.35401662965615593], [0.4198104441165924, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0, 0.5237275653415255, 0.38090320587158205], [0.30281466245651245, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0, 0.48710692657364735, 0.45226415594418845], [0.33192211389541626, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0, 0.4335360795259476, 0.47080494403839107], [0.30924445390701294, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0, 0.3880812009175618, 0.45041859944661455], [0.34890326857566833, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0, 0.4070287068684896, 0.4224647839864095]]",0.4091576039791107,30.277662694454193,4.0,272.0,0.0,0.0,0.0,24.421722412109375,25.34788703918457,0.6666666666666666,0.7472527472527473,0.0,0.0,0.0,0.4070287068684896,0.4224647839864095
7,"[[0.46222957968711853, 1.0, 0.7335164835164836, 0.0, 0.0, 1.0, 0.4566943827602598, 0.35401662965615593], [0.4198104441165924, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0, 0.5237275653415255, 0.38090320587158205], [0.30281466245651245, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0, 0.48710692657364735, 0.45226415594418845], [0.33192211389541626, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0, 0.4335360795259476, 0.47080494403839107], [0.30924445390701294, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0, 0.3880812009175618, 0.45041859944661455], [0.34890326857566833, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0, 0.4070287068684896, 0.4224647839864095], [0.4091576039791107, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0, 0.4387811024983724, 0.4198370615641276]]",0.4843115210533142,35.83905255794525,5.0,273.0,0.0,0.0,1.0,26.326866149902344,25.190223693847656,0.8333333333333333,0.7500000000000001,0.0,0.0,1.0,0.4387811024983724,0.4198370615641276
8,"[[0.4198104441165924, 0.0, 0.7362637362637363, 0.0, 0.0, 0.0, 0.5237275653415255, 0.38090320587158205], [0.30281466245651245, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0, 0.48710692657364735, 0.45226415594418845], [0.33192211389541626, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0, 0.4335360795259476, 0.47080494403839107], [0.30924445390701294, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0, 0.3880812009175618, 0.45041859944661455], [0.34890326857566833, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0, 0.4070287068684896, 0.4224647839864095], [0.4091576039791107, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0, 0.4387811024983724, 0.4198370615641276], [0.4843115210533142, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0, 0.5107531229654948, 0.46460628509521484]]",0.42761778831481934,31.64371633529663,6.0,274.0,0.0,0.0,1.0,30.645187377929688,27.87637710571289,1.0,0.7527472527472528,0.0,0.0,1.0,0.5107531229654948,0.46460628509521484
9,"[[0.30281466245651245, 0.16666666666666666, 0.739010989010989, 0.0, 0.0, 0.0, 0.48710692657364735, 0.45226415594418845], [0.33192211389541626, 0.3333333333333333, 0.7417582417582418, 0.0, 0.0, 0.0, 0.4335360795259476, 0.47080494403839107], [0.30924445390701294, 0.5, 0.7445054945054945, 0.0, 0.0, 0.0, 0.3880812009175618, 0.45041859944661455], [0.34890326857566833, 0.6666666666666666, 0.7472527472527473, 0.0, 0.0, 0.0, 0.4070287068684896, 0.4224647839864095], [0.4091576039791107, 0.8333333333333333, 0.7500000000000001, 0.0, 0.0, 1.0, 0.4387811024983724, 0.4198370615641276], [0.4843115210533142, 1.0, 0.7527472527472528, 0.0, 0.0, 1.0, 0.5107531229654948, 0.46460628509521484], [0.42761778831481934, 0.0, 0.7554945054945056, 0.0, 0.0, 0.0, 0.5431135177612305, 0.48821125030517576]]",0.30701106786727905,22.71881902217865,0.0,275.0,0.0,0.0,0.0,32.58681106567383,29.292675018310547,0.0,0.7554945054945056,0.0,0.0,0.0,0.5431135177612305,0.48821125030517576
